password index,	Time to Hash entire salt(seconds),	Total time elapsed (seconds),size of password (characters)
165,1.98685,324.7,9
166,1.94008,326.64,7
167,1.83777,328.478,6
168,2.17191,330.65,6
169,2.42275,333.072,7
170,2.13086,335.203,8
171,2.46316,337.667,6
172,2.14536,339.812,6
173,2.20881,342.021,8
174,2.46029,344.481,6
175,1.95584,346.437,6
176,1.84542,348.282,6
177,1.79848,350.081,6
178,2.15509,352.236,7
179,1.87286,354.109,6
180,1.98494,356.094,6
181,1.89604,357.99,5
182,1.82354,359.813,7
183,2.05172,361.865,6
184,2.10114,363.966,6
185,1.89947,365.866,6
186,1.80731,367.673,6
187,1.80674,369.48,7
188,2.28459,371.765,6
189,1.91954,373.684,6
190,1.84934,375.533,4
191,2.42401,377.957,6
192,2.53355,380.491,6
193,1.88609,382.377,8
194,1.87298,384.25,7
195,1.84734,386.098,7
196,2.65717,388.755,6
197,3.06737,391.822,7
198,2.6796,394.502,6
199,2.10116,396.603,7
200,2.13956,398.742,6
201,2.51733,401.26,6
202,1.92289,403.183,6
203,1.84353,405.026,6
204,2.23416,407.26,6
205,1.9206,409.181,6
206,1.98611,411.167,6
207,1.92498,413.092,6
208,1.84846,414.941,6
209,1.79366,416.734,6
210,2.0084,418.743,8
211,2.26325,421.006,6
212,1.8993,422.905,6
213,1.94697,424.852,7
214,1.89442,426.747,6
215,1.90438,428.651,6
216,1.85968,430.511,6
217,1.82828,432.339,7
218,1.84204,434.181,7
219,1.77667,435.958,5
220,1.79694,437.755,6
221,1.93924,439.694,8
222,1.79082,441.485,6
223,1.81833,443.303,6
224,2.08713,445.39,7
225,2.69211,448.083,6
226,2.15298,450.236,5
227,1.89305,452.129,6
228,1.83851,453.967,5
229,1.97671,455.944,6
230,1.97847,457.922,6
231,2.22994,460.152,6
232,1.94983,462.102,8
233,1.81122,463.913,7
234,1.82441,465.738,8
235,2.0211,467.759,7
236,1.93863,469.698,6
237,1.86396,471.562,6
238,1.97267,473.534,7
239,1.89991,475.434,6
240,1.87613,477.31,6
241,1.94111,479.252,7
242,1.96689,481.218,8
243,2.05736,483.276,6
244,2.01986,485.296,5
245,1.98722,487.283,6
246,1.94791,489.231,7
247,1.8815,491.112,6
248,1.87712,492.99,8
249,1.98132,494.971,7
250,1.86889,496.84,8
251,1.97662,498.816,7
252,1.84025,500.657,8
253,1.86858,502.525,8
254,1.88235,504.408,6
255,1.93781,506.345,6
256,2.00388,508.349,6
257,1.91089,510.26,7
258,1.8355,512.096,7
259,1.91801,514.014,7
260,1.85583,515.87,6
261,1.81869,517.688,6
262,1.81901,519.507,5
263,1.83411,521.342,6
264,1.87781,523.219,7
265,1.80478,525.024,6
266,1.92572,526.95,7
267,1.88097,528.831,7
268,1.84525,530.676,7
269,1.87222,532.548,4
270,1.85269,534.401,6
271,1.93543,536.337,7
272,1.88857,538.225,8
273,1.90983,540.135,6
274,1.80139,541.936,6
275,1.93449,543.871,8
276,1.88551,545.756,6
277,1.83732,547.594,4
278,1.84771,549.441,5
279,1.85428,551.296,4
280,1.84946,553.145,6
281,1.86764,555.013,7
282,1.8553,556.868,6
283,1.81679,558.685,5
284,1.89308,560.578,6
285,1.91661,562.495,6
286,1.80196,564.297,7
287,1.83559,566.132,6
288,1.81962,567.952,6
289,1.81364,569.766,8
290,1.81685,571.583,8
291,1.88395,573.466,5
292,1.81369,575.28,8
293,1.78804,577.068,6
294,1.82142,578.89,6
295,1.78553,580.675,4
296,1.94303,582.618,7
297,1.88642,584.505,6
298,1.79879,586.304,6
299,1.84333,588.147,5
300,1.80812,589.955,8
301,1.85549,591.811,8
302,1.85242,593.663,9
303,1.81776,595.481,6
304,1.80526,597.286,6
305,1.79652,599.083,6
306,1.81883,600.901,9
307,1.80933,602.711,6
308,1.81511,604.526,8
309,1.81106,606.337,9
310,1.78683,608.124,6
311,1.85821,609.982,4
312,1.97608,611.958,4
313,1.81233,613.77,5
314,1.86153,615.632,8
315,1.78286,617.415,8
316,1.80182,619.217,7
317,1.80199,621.019,7
318,1.80221,622.821,7
319,2.03378,624.855,6
320,1.90577,626.761,4
321,1.81148,628.572,4
322,1.8756,630.448,6
323,1.852,632.3,6
324,1.79402,634.094,8
325,1.81532,635.909,8
326,1.83506,637.744,9
327,1.84697,639.591,4
328,1.78077,641.372,6
329,1.8643,643.236,7
330,2.05323,645.289,6
331,1.95659,647.246,6
332,2.25081,649.497,6
333,1.80579,651.303,6
334,1.84036,653.143,6
335,1.79633,654.939,8
336,1.89422,656.834,6
337,1.86512,658.699,7
338,1.79505,660.494,7
339,1.91134,662.405,6
340,2.13008,664.535,7
341,1.81552,666.351,6
342,1.94219,668.293,4
343,1.98459,670.278,9
344,1.8426,672.12,6
345,1.79427,673.915,6
346,1.81736,675.732,8
347,1.80805,677.54,6
348,1.81541,679.356,7
349,1.78461,681.14,6
350,1.81407,682.954,6
351,1.83804,684.792,8
352,1.94439,686.737,6
353,1.99268,688.729,7
354,2.01911,690.749,7
355,1.85987,692.608,6
356,1.85662,694.465,7
357,1.86539,696.33,6
358,2.04958,698.38,6
359,1.93328,700.313,6
360,1.88794,702.201,4
361,1.86794,704.069,6
362,1.99272,706.062,8
363,1.97,708.032,6
364,1.79347,709.826,7
365,1.79236,711.618,6
366,1.88067,713.499,7
367,1.79731,715.296,7
368,1.82324,717.119,6
369,1.8431,718.962,8
370,1.9685,720.931,6
371,2.01323,722.944,8
372,2.13579,725.08,7
373,2.13367,727.214,10
374,1.96262,729.176,6
375,1.93067,731.107,7
376,2.03928,733.146,6
377,2.03548,735.182,8
378,1.96384,737.146,5
379,2.0053,739.151,6
380,2.00217,741.153,4
381,2.10334,743.256,8
382,1.93472,745.191,4
383,2.03685,747.228,7
384,2.08124,749.309,6
385,2.08419,751.393,7
386,2.07213,753.466,6
387,2.03548,755.501,4
388,1.91849,757.42,6
389,2.12907,759.549,7
390,2.01598,761.565,6
391,1.99197,763.557,6
392,2.08049,765.637,8
393,2.20178,767.839,6
394,2.15574,769.995,6
395,2.01359,772.008,6
396,1.90822,773.917,4
397,1.79934,775.716,5
398,1.8193,777.535,6
399,1.92832,779.464,6
400,2.01833,781.482,6
401,1.90347,783.385,8
402,2.13841,785.524,6
403,1.98874,787.513,6
404,2.08096,789.594,8
405,1.95247,791.546,4
406,1.90394,793.45,8
407,2.16898,795.619,6
408,1.96209,797.581,5
409,1.97749,799.559,10
410,2.03841,801.597,8
411,1.90312,803.5,7
412,2.01851,805.519,6
413,1.94166,807.46,5
414,2.01427,809.475,7
415,2.08507,811.56,6
416,1.98902,813.549,6
417,2.21673,815.766,6
418,2.17856,817.944,6
419,1.89253,819.837,5
420,1.87601,821.713,6
421,1.80361,823.516,6
422,1.78938,825.306,5
423,1.91408,827.22,6
424,1.93425,829.154,8
425,2.20249,831.357,4
426,2.02466,833.381,7
427,2.14956,835.531,8
428,1.81809,837.349,7
429,2.0199,839.369,6
430,2.07058,841.44,4
431,1.83466,843.274,7
432,1.80255,845.077,6
433,1.80882,846.886,8
434,1.7998,848.685,8
435,1.78089,850.466,6
436,1.82382,852.29,8
437,1.90513,854.195,4
438,2.17202,856.367,6
439,2.09421,858.462,8
440,2.22461,860.686,4
441,2.04912,862.735,6
442,2.20798,864.943,6
443,2.08981,867.033,8
444,2.09027,869.124,5
445,2.04777,871.171,6
446,1.88447,873.056,6
447,1.83664,874.892,6
448,1.92907,876.822,5
449,1.82456,878.646,6
450,1.80624,880.452,4
451,2.06796,882.52,6
452,2.02054,884.541,6
453,2.04195,886.583,6
454,1.9756,888.559,8
455,2.15039,890.709,6
456,2.04991,892.759,4
457,2.29219,895.051,6
458,2.00565,897.057,6
459,2.17351,899.23,5
460,1.80488,901.035,8
461,1.82049,902.856,4
462,2.82079,905.677,4
463,2.31181,907.988,8
464,1.97304,909.961,6
465,1.84588,911.807,8
466,1.83058,913.638,6
467,2.0415,915.679,8
468,1.98905,917.668,7
469,1.92501,919.594,6
470,1.8384,921.432,6
471,2.08203,923.514,8
472,1.88982,925.404,8
473,1.85503,927.259,5
474,2.00193,929.261,4
475,1.91529,931.176,5
476,1.89023,933.066,9
477,1.9121,934.978,7
478,1.93951,936.918,6
479,1.93968,938.858,6
480,2.07672,940.934,8
481,1.79799,942.732,6
482,1.80126,944.534,8
483,1.98465,946.518,5
484,2.01551,948.534,6
485,1.98906,950.523,5
486,2.03845,952.561,8
487,1.91973,954.481,6
488,2.01861,956.5,6
489,1.97712,958.477,7
490,1.9662,960.443,6
491,1.79187,962.235,7
492,1.7896,964.025,6
493,1.82461,965.849,7
494,1.80671,967.656,6
495,1.83135,969.487,6
496,1.81167,971.299,6
497,1.93359,973.233,6
498,2.00743,975.24,7
499,2.34415,977.584,8
